Indic Sentence,English Sentence,cleaned_english_text,cleaned_bengali_text,token_english,token_bengali,POS_Tags_eng,POS_Tags_ben,NER_eng,NER_ben,stem_eng,stem_ben
"বিভিন্ন উৎসব উপলক্ষ্যে প্রধানমন্ত্রীর শুভেচ্ছা জানিয়েছেন PM greets the people on occasion of Various festivals across the country নয়াদিল্লি, ২১ মার্চ, ২০১৫ প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী দেশ জুড়ে বিভিন্ন উৎসব উপলক্ষ্যে জনসাধারণকে শুভেচ্ছা জানিয়েছেন।","The Prime Minister, Shri Narendra Modi has greeted the people on occasion of various festivals across the country.",the prime minister shri narendra modi has greeted the people on occasion of various festivals across the country,বিভিন্ন উৎসব উপলক্ষ্যে প্রধানমন্ত্রীর শুভেচ্ছা জানিয়েছেন নয়াদিল্লি ২১ মার্চ ২০১৫ প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী দেশ জুড়ে বিভিন্ন উৎসব উপলক্ষ্যে জনসাধারণকে শুভেচ্ছা জানিয়েছেন,"['prime', 'minister', 'shri', 'narendra', 'modi', 'has', 'greeted', 'people', 'occasion', 'various', 'festivals', 'across', 'country']","['বিভিন্ন', 'উৎসব', 'উপলক্ষ্যে', 'প্রধানমন্ত্রীর', 'শুভেচ্ছা', 'জানিয়েছেন', 'নয়াদিল্লি', '২১', 'মার্চ', '২০১৫', 'প্রধানমন্ত্রী', 'শ্রী', 'নরেন্দ্র', 'মোদী', 'দেশ', 'জুড়ে', 'বিভিন্ন', 'উৎসব', 'উপলক্ষ্যে', 'জনসাধারণকে', 'শুভেচ্ছা', 'জানিয়েছেন']","[('the', 'NN'), ('prime', 'NN'), ('minister', 'NN'), ('shri', 'VBZ'), ('narendra', 'JJ'), ('modi', 'NN'), ('has', 'JJ'), ('greeted', 'NN'), ('the', 'NN'), ('people', 'NN'), ('on', 'IN'), ('occasion', 'NN'), ('of', 'IN'), ('various', 'NN'), ('festivals', 'IN'), ('across', 'DT'), ('the', 'NN'), ('country', 'NN')]","[('বিভিন্ন', 'JJ'), ('উৎসব', 'NC'), ('উপলক্ষ্যে', 'NC'), ('প্রধানমন্ত্রীর', 'NC'), ('শুভেচ্ছা', 'NC'), ('জানিয়েছেন', 'VM'), ('নয়াদিল্লি', 'NP'), ('২১', 'NP'), ('মার্চ', 'NP'), ('২০১৫', 'NP'), ('প্রধানমন্ত্রী', 'NP'), ('শ্রী', 'NP'), ('নরেন্দ্র', 'NP'), ('মোদী', 'JJ'), ('দেশ', 'NC'), ('জুড়ে', 'VM'), ('বিভিন্ন', 'JJ'), ('উৎসব', 'NC'), ('উপলক্ষ্যে', 'NC'), ('জনসাধারণকে', 'NC'), ('শুভেচ্ছা', 'NC'), ('জানিয়েছেন', 'VM')]","[('prime', 'JJ'), ('minister', 'NN'), ('shri', 'NN'), ('narendra', 'NN'), ('modi', 'NN'), ('has', 'VBZ'), ('greeted', 'VBN'), ('people', 'NNS'), ('occasion', 'VBP'), ('various', 'JJ'), ('festivals', 'NNS'), ('across', 'IN'), ('country', 'NN')]","[('বিভিন্ন', 'O'), ('উৎসব', 'O'), ('উপলক্ষ্যে', 'O'), ('প্রধানমন্ত্রীর', 'S-PER'), ('শুভেচ্ছা', 'O'), ('জানিয়েছেন', 'O'), ('নয়াদিল্লি', 'S-LOC'), ('২১', 'O'), ('মার্চ', 'O'), ('২০১৫', 'O'), ('প্রধানমন্ত্রী', 'S-PER'), ('শ্রী', 'B-PER'), ('নরেন্দ্র', 'I-PER'), ('মোদী', 'E-PER'), ('দেশ', 'O'), ('জুড়ে', 'O'), ('বিভিন্ন', 'O'), ('উৎসব', 'O'), ('উপলক্ষ্যে', 'O'), ('জনসাধারণকে', 'O'), ('শুভেচ্ছা', 'O'), ('জানিয়েছেন', 'O')]","['prime', 'minist', 'shri', 'narendra', 'modi', 'ha', 'greet', 'people', 'occasion', 'variou', 'festival', 'acro', 'country']","['বিভিন্ন', 'উৎসব', 'উপলক্ষ্য', 'প্রধানমন্ত্রী', 'শুভেচ্ছা', 'জানিয়', 'নয়াদিল্লি', '২১', 'মার্চ', '২০১৫', 'প্রধানমন্ত্রী', 'শ্রী', 'নরেন্দ্', 'মোদী', 'দেশ', 'জুড়', 'বিভিন্ন', 'উৎসব', 'উপলক্ষ্য', 'জনসাধারণক', 'শুভেচ্ছা', 'জানিয়']"
"শহরটিতে ছয়টি বড় স্টেশন আছে যথা: পাটলিপুত্র জংশন, পাটনা জংশন, রাজেন্দ্রনগর টার্মিনাল, গুলজারবাগ স্টেশন, দানাপুর স্টেশন এবং পাটনা সাহেব স্টেশন; সেই সাথে শহরটিকে ভারতের বৃহৎ রেলওয়ে হাব হিসেবে গণ্য করা হয়।","The city is a major railway hub and has six major stations: Patna Junction, Rajendranagar Terminal, Gulzarbagh station, Danapur railway station, Patliputra Junction and Patna Sahib station.",the city is a major railway hub and has six major stations patna junction rajendranagar terminal gulzarbagh station danapur railway station patliputra junction and patna sahib station,শহরটিতে ছয়টি বড় স্টেশন আছে যথা পাটলিপুত্র জংশন পাটনা জংশন রাজেন্দ্রনগর টার্মিনাল গুলজারবাগ স্টেশন দানাপুর স্টেশন এবং পাটনা সাহেব স্টেশন সেই সাথে শহরটিকে ভারতের বৃহৎ রেলওয়ে হাব হিসেবে গণ্য করা হয়,"['city', 'a', 'major', 'railway', 'hub', 'has', 'six', 'major', 'stations', 'patna', 'junction', 'rajendranagar', 'terminal', 'gulzarbagh', 'station', 'danapur', 'railway', 'station', 'patliputra', 'junction', 'patna', 'sahib', 'station']","['শহরটিতে', 'ছয়টি', 'বড়', 'স্টেশন', 'যথা', 'পাটলিপুত্র', 'জংশন', 'পাটনা', 'জংশন', 'রাজেন্দ্রনগর', 'টার্মিনাল', 'গুলজারবাগ', 'স্টেশন', 'দানাপুর', 'স্টেশন', 'পাটনা', 'সাহেব', 'স্টেশন', 'সেই', 'সাথে', 'শহরটিকে', 'ভারতের', 'বৃহৎ', 'রেলওয়ে', 'হাব', 'হিসেবে', 'গণ্য', 'করা', 'হয়']","[('the', 'NN'), ('city', 'MD'), ('is', 'VB'), ('a', 'DT'), ('major', 'NN'), ('railway', 'NN'), ('hub', 'VBP'), ('and', 'DT'), ('has', 'JJ'), ('six', 'NNS'), ('major', 'NN'), ('stations', 'NNS'), ('patna', 'VBP'), ('junction', 'JJ'), ('rajendranagar', 'NN'), ('terminal', 'NN'), ('gulzarbagh', 'NN'), ('station', 'VBZ'), ('danapur', 'JJ'), ('railway', 'NN'), ('station', 'NNS'), ('patliputra', 'VBP'), ('junction', 'RP'), ('and', 'DT'), ('patna', 'NN'), ('sahib', 'VBZ'), ('station', 'NNS')]","[('শহরটিতে', 'NC'), ('ছয়টি', 'NC'), ('বড়', 'NC'), ('স্টেশন', 'NC'), ('আছে', 'VM'), ('যথা', 'CX'), ('পাটলিপুত্র', 'NP'), ('জংশন', 'NP'), ('পাটনা', 'NP'), ('জংশন', 'NP'), ('রাজেন্দ্রনগর', 'NP'), ('টার্মিনাল', 'NP'), ('গুলজারবাগ', 'NP'), ('স্টেশন', 'NP'), ('দানাপুর', 'NP'), ('স্টেশন', 'NP'), ('এবং', 'CCD'), ('পাটনা', 'NC'), ('সাহেব', 'NC'), ('স্টেশন', 'NC'), ('সেই', 'DAB'), ('সাথে', 'NC'), ('শহরটিকে', 'NC'), ('ভারতের', 'NP'), ('বৃহৎ', 'JJ'), ('রেলওয়ে', 'NC'), ('হাব', 'NC'), ('হিসেবে', 'PP'), ('গণ্য', 'JJ'), ('করা', 'NV'), ('হয়', 'PU')]","[('city', 'NN'), ('a', 'DT'), ('major', 'JJ'), ('railway', 'NN'), ('hub', 'NN'), ('has', 'VBZ'), ('six', 'CD'), ('major', 'JJ'), ('stations', 'NNS'), ('patna', 'VBP'), ('junction', 'NN'), ('rajendranagar', 'NN'), ('terminal', 'JJ'), ('gulzarbagh', 'NN'), ('station', 'NN'), ('danapur', 'VB'), ('railway', 'NN'), ('station', 'NN'), ('patliputra', 'JJ'), ('junction', 'NN'), ('patna', 'NN'), ('sahib', 'NN'), ('station', 'NN')]","[('শহরটিতে', 'O'), ('ছয়টি', 'O'), ('বড়', 'O'), ('স্টেশন', 'O'), ('আছে', 'O'), ('যথা', 'O'), ('পাটলিপুত্র', 'B-LOC'), ('জংশন', 'E-LOC'), ('পাটনা', 'B-LOC'), ('জংশন', 'E-LOC'), ('রাজেন্দ্রনগর', 'B-LOC'), ('টার্মিনাল', 'E-LOC'), ('গুলজারবাগ', 'B-LOC'), ('স্টেশন', 'E-LOC'), ('দানাপুর', 'B-LOC'), ('স্টেশন', 'E-LOC'), ('এবং', 'O'), ('পাটনা', 'B-PER'), ('সাহেব', 'E-PER'), ('স্টেশন', 'O'), ('সেই', 'O'), ('সাথে', 'O'), ('শহরটিকে', 'S-LOC'), ('ভারতের', 'S-LOC'), ('বৃহৎ', 'O'), ('রেলওয়ে', 'O'), ('হাব', 'O'), ('হিসেবে', 'O'), ('গণ্য', 'O'), ('করা', 'O'), ('হয়', 'O')]","['cy', 'a', 'major', 'railway', 'hub', 'ha', 'six', 'major', 'station', 'patna', 'junction', 'rajendranagar', 'terminal', 'gulzarbagh', 'station', 'danapur', 'railway', 'station', 'patliputra', 'junction', 'patna', 'sahib', 'station']","['শহরটিত', 'ছয়টি', 'বড়', 'স্টেশন', 'যথা', 'পাটলিপুত্', 'জংশন', 'পাটনা', 'জংশন', 'রাজেন্দ্রনগ', 'টার্মিনাল', 'গুলজারবাগ', 'স্টেশন', 'দানাপু', 'স্টেশন', 'পাটনা', 'সাহেব', 'স্টেশন', 'সেই', 'সাথ', 'শহরটিক', 'ভারত', 'বৃহৎ', 'রেলওয়', 'হাব', 'হিসেব', 'গণ্য', 'ক', 'হয়']"
"শহরটিতে ছয়টি বড় স্টেশন আছে যথা: পাটলিপুত্র জংশন, পাটনা জংশন, রাজেন্দ্রনগর টার্মিনাল, গুলজারবাগ স্টেশন, দানাপুর স্টেশন এবং পাটনা সাহেব স্টেশন; সেই সাথে শহরটিকে ভারতের বৃহৎ রেলওয়ে হাব হিসেবে গণ্য করা হয়।","The city is a major railway hub and has six major stations: Patna Junction, Rajendranagar Terminal, Gulzarbagh station, Danapur railway station, Patliputra Junction and Patna Sahib station.",the city is a major railway hub and has six major stations patna junction rajendranagar terminal gulzarbagh station danapur railway station patliputra junction and patna sahib station,শহরটিতে ছয়টি বড় স্টেশন আছে যথা পাটলিপুত্র জংশন পাটনা জংশন রাজেন্দ্রনগর টার্মিনাল গুলজারবাগ স্টেশন দানাপুর স্টেশন এবং পাটনা সাহেব স্টেশন সেই সাথে শহরটিকে ভারতের বৃহৎ রেলওয়ে হাব হিসেবে গণ্য করা হয়,"['city', 'a', 'major', 'railway', 'hub', 'has', 'six', 'major', 'stations', 'patna', 'junction', 'rajendranagar', 'terminal', 'gulzarbagh', 'station', 'danapur', 'railway', 'station', 'patliputra', 'junction', 'patna', 'sahib', 'station']","['শহরটিতে', 'ছয়টি', 'বড়', 'স্টেশন', 'যথা', 'পাটলিপুত্র', 'জংশন', 'পাটনা', 'জংশন', 'রাজেন্দ্রনগর', 'টার্মিনাল', 'গুলজারবাগ', 'স্টেশন', 'দানাপুর', 'স্টেশন', 'পাটনা', 'সাহেব', 'স্টেশন', 'সেই', 'সাথে', 'শহরটিকে', 'ভারতের', 'বৃহৎ', 'রেলওয়ে', 'হাব', 'হিসেবে', 'গণ্য', 'করা', 'হয়']","[('the', 'NN'), ('city', 'MD'), ('is', 'VB'), ('a', 'DT'), ('major', 'NN'), ('railway', 'NN'), ('hub', 'VBP'), ('and', 'DT'), ('has', 'JJ'), ('six', 'NNS'), ('major', 'NN'), ('stations', 'NNS'), ('patna', 'VBP'), ('junction', 'JJ'), ('rajendranagar', 'NN'), ('terminal', 'NN'), ('gulzarbagh', 'NN'), ('station', 'VBZ'), ('danapur', 'JJ'), ('railway', 'NN'), ('station', 'NNS'), ('patliputra', 'VBP'), ('junction', 'RP'), ('and', 'DT'), ('patna', 'NN'), ('sahib', 'VBZ'), ('station', 'NNS')]","[('শহরটিতে', 'NC'), ('ছয়টি', 'NC'), ('বড়', 'NC'), ('স্টেশন', 'NC'), ('আছে', 'VM'), ('যথা', 'CX'), ('পাটলিপুত্র', 'NP'), ('জংশন', 'NP'), ('পাটনা', 'NP'), ('জংশন', 'NP'), ('রাজেন্দ্রনগর', 'NP'), ('টার্মিনাল', 'NP'), ('গুলজারবাগ', 'NP'), ('স্টেশন', 'NP'), ('দানাপুর', 'NP'), ('স্টেশন', 'NP'), ('এবং', 'CCD'), ('পাটনা', 'NC'), ('সাহেব', 'NC'), ('স্টেশন', 'NC'), ('সেই', 'DAB'), ('সাথে', 'NC'), ('শহরটিকে', 'NC'), ('ভারতের', 'NP'), ('বৃহৎ', 'JJ'), ('রেলওয়ে', 'NC'), ('হাব', 'NC'), ('হিসেবে', 'PP'), ('গণ্য', 'JJ'), ('করা', 'NV'), ('হয়', 'PU')]","[('city', 'NN'), ('a', 'DT'), ('major', 'JJ'), ('railway', 'NN'), ('hub', 'NN'), ('has', 'VBZ'), ('six', 'CD'), ('major', 'JJ'), ('stations', 'NNS'), ('patna', 'VBP'), ('junction', 'NN'), ('rajendranagar', 'NN'), ('terminal', 'JJ'), ('gulzarbagh', 'NN'), ('station', 'NN'), ('danapur', 'VB'), ('railway', 'NN'), ('station', 'NN'), ('patliputra', 'JJ'), ('junction', 'NN'), ('patna', 'NN'), ('sahib', 'NN'), ('station', 'NN')]","[('শহরটিতে', 'O'), ('ছয়টি', 'O'), ('বড়', 'O'), ('স্টেশন', 'O'), ('আছে', 'O'), ('যথা', 'O'), ('পাটলিপুত্র', 'B-LOC'), ('জংশন', 'E-LOC'), ('পাটনা', 'B-LOC'), ('জংশন', 'E-LOC'), ('রাজেন্দ্রনগর', 'B-LOC'), ('টার্মিনাল', 'E-LOC'), ('গুলজারবাগ', 'B-LOC'), ('স্টেশন', 'E-LOC'), ('দানাপুর', 'B-LOC'), ('স্টেশন', 'E-LOC'), ('এবং', 'O'), ('পাটনা', 'B-PER'), ('সাহেব', 'E-PER'), ('স্টেশন', 'O'), ('সেই', 'O'), ('সাথে', 'O'), ('শহরটিকে', 'S-LOC'), ('ভারতের', 'S-LOC'), ('বৃহৎ', 'O'), ('রেলওয়ে', 'O'), ('হাব', 'O'), ('হিসেবে', 'O'), ('গণ্য', 'O'), ('করা', 'O'), ('হয়', 'O')]","['cy', 'a', 'major', 'railway', 'hub', 'ha', 'six', 'major', 'station', 'patna', 'junction', 'rajendranagar', 'terminal', 'gulzarbagh', 'station', 'danapur', 'railway', 'station', 'patliputra', 'junction', 'patna', 'sahib', 'station']","['শহরটিত', 'ছয়টি', 'বড়', 'স্টেশন', 'যথা', 'পাটলিপুত্', 'জংশন', 'পাটনা', 'জংশন', 'রাজেন্দ্রনগ', 'টার্মিনাল', 'গুলজারবাগ', 'স্টেশন', 'দানাপু', 'স্টেশন', 'পাটনা', 'সাহেব', 'স্টেশন', 'সেই', 'সাথ', 'শহরটিক', 'ভারত', 'বৃহৎ', 'রেলওয়', 'হাব', 'হিসেব', 'গণ্য', 'ক', 'হয়']"
"শহরটিতে ছয়টি বড় স্টেশন আছে যথা: পাটলিপুত্র জংশন, পাটনা জংশন, রাজেন্দ্রনগর টার্মিনাল, গুলজারবাগ স্টেশন, দানাপুর স্টেশন এবং পাটনা সাহেব স্টেশন; সেই সাথে শহরটিকে ভারতের বৃহৎ রেলওয়ে হাব হিসেবে গণ্য করা হয়।","The city is a major railway hub and has six major stations: Patna Junction, Rajendranagar Terminal, Gulzarbagh station, Danapur railway station, Patliputra Junction and Patna Sahib station.",the city is a major railway hub and has six major stations patna junction rajendranagar terminal gulzarbagh station danapur railway station patliputra junction and patna sahib station,শহরটিতে ছয়টি বড় স্টেশন আছে যথা পাটলিপুত্র জংশন পাটনা জংশন রাজেন্দ্রনগর টার্মিনাল গুলজারবাগ স্টেশন দানাপুর স্টেশন এবং পাটনা সাহেব স্টেশন সেই সাথে শহরটিকে ভারতের বৃহৎ রেলওয়ে হাব হিসেবে গণ্য করা হয়,"['city', 'a', 'major', 'railway', 'hub', 'has', 'six', 'major', 'stations', 'patna', 'junction', 'rajendranagar', 'terminal', 'gulzarbagh', 'station', 'danapur', 'railway', 'station', 'patliputra', 'junction', 'patna', 'sahib', 'station']","['শহরটিতে', 'ছয়টি', 'বড়', 'স্টেশন', 'যথা', 'পাটলিপুত্র', 'জংশন', 'পাটনা', 'জংশন', 'রাজেন্দ্রনগর', 'টার্মিনাল', 'গুলজারবাগ', 'স্টেশন', 'দানাপুর', 'স্টেশন', 'পাটনা', 'সাহেব', 'স্টেশন', 'সেই', 'সাথে', 'শহরটিকে', 'ভারতের', 'বৃহৎ', 'রেলওয়ে', 'হাব', 'হিসেবে', 'গণ্য', 'করা', 'হয়']","[('the', 'NN'), ('city', 'MD'), ('is', 'VB'), ('a', 'DT'), ('major', 'NN'), ('railway', 'NN'), ('hub', 'VBP'), ('and', 'DT'), ('has', 'JJ'), ('six', 'NNS'), ('major', 'NN'), ('stations', 'NNS'), ('patna', 'VBP'), ('junction', 'JJ'), ('rajendranagar', 'NN'), ('terminal', 'NN'), ('gulzarbagh', 'NN'), ('station', 'VBZ'), ('danapur', 'JJ'), ('railway', 'NN'), ('station', 'NNS'), ('patliputra', 'VBP'), ('junction', 'RP'), ('and', 'DT'), ('patna', 'NN'), ('sahib', 'VBZ'), ('station', 'NNS')]","[('শহরটিতে', 'NC'), ('ছয়টি', 'NC'), ('বড়', 'NC'), ('স্টেশন', 'NC'), ('আছে', 'VM'), ('যথা', 'CX'), ('পাটলিপুত্র', 'NP'), ('জংশন', 'NP'), ('পাটনা', 'NP'), ('জংশন', 'NP'), ('রাজেন্দ্রনগর', 'NP'), ('টার্মিনাল', 'NP'), ('গুলজারবাগ', 'NP'), ('স্টেশন', 'NP'), ('দানাপুর', 'NP'), ('স্টেশন', 'NP'), ('এবং', 'CCD'), ('পাটনা', 'NC'), ('সাহেব', 'NC'), ('স্টেশন', 'NC'), ('সেই', 'DAB'), ('সাথে', 'NC'), ('শহরটিকে', 'NC'), ('ভারতের', 'NP'), ('বৃহৎ', 'JJ'), ('রেলওয়ে', 'NC'), ('হাব', 'NC'), ('হিসেবে', 'PP'), ('গণ্য', 'JJ'), ('করা', 'NV'), ('হয়', 'PU')]","[('city', 'NN'), ('a', 'DT'), ('major', 'JJ'), ('railway', 'NN'), ('hub', 'NN'), ('has', 'VBZ'), ('six', 'CD'), ('major', 'JJ'), ('stations', 'NNS'), ('patna', 'VBP'), ('junction', 'NN'), ('rajendranagar', 'NN'), ('terminal', 'JJ'), ('gulzarbagh', 'NN'), ('station', 'NN'), ('danapur', 'VB'), ('railway', 'NN'), ('station', 'NN'), ('patliputra', 'JJ'), ('junction', 'NN'), ('patna', 'NN'), ('sahib', 'NN'), ('station', 'NN')]","[('শহরটিতে', 'O'), ('ছয়টি', 'O'), ('বড়', 'O'), ('স্টেশন', 'O'), ('আছে', 'O'), ('যথা', 'O'), ('পাটলিপুত্র', 'B-LOC'), ('জংশন', 'E-LOC'), ('পাটনা', 'B-LOC'), ('জংশন', 'E-LOC'), ('রাজেন্দ্রনগর', 'B-LOC'), ('টার্মিনাল', 'E-LOC'), ('গুলজারবাগ', 'B-LOC'), ('স্টেশন', 'E-LOC'), ('দানাপুর', 'B-LOC'), ('স্টেশন', 'E-LOC'), ('এবং', 'O'), ('পাটনা', 'B-PER'), ('সাহেব', 'E-PER'), ('স্টেশন', 'O'), ('সেই', 'O'), ('সাথে', 'O'), ('শহরটিকে', 'S-LOC'), ('ভারতের', 'S-LOC'), ('বৃহৎ', 'O'), ('রেলওয়ে', 'O'), ('হাব', 'O'), ('হিসেবে', 'O'), ('গণ্য', 'O'), ('করা', 'O'), ('হয়', 'O')]","['cy', 'a', 'major', 'railway', 'hub', 'ha', 'six', 'major', 'station', 'patna', 'junction', 'rajendranagar', 'terminal', 'gulzarbagh', 'station', 'danapur', 'railway', 'station', 'patliputra', 'junction', 'patna', 'sahib', 'station']","['শহরটিত', 'ছয়টি', 'বড়', 'স্টেশন', 'যথা', 'পাটলিপুত্', 'জংশন', 'পাটনা', 'জংশন', 'রাজেন্দ্রনগ', 'টার্মিনাল', 'গুলজারবাগ', 'স্টেশন', 'দানাপু', 'স্টেশন', 'পাটনা', 'সাহেব', 'স্টেশন', 'সেই', 'সাথ', 'শহরটিক', 'ভারত', 'বৃহৎ', 'রেলওয়', 'হাব', 'হিসেব', 'গণ্য', 'ক', 'হয়']"
কিন্তু বই কি তা হলে বাদ?,But what about books?,but what about books,কিন্তু বই কি তা হলে বাদ,"['but', 'what', 'about', 'books']","['কিন্তু', 'বই', 'কি', 'তা', 'হলে', 'বাদ']","[('but', 'RB'), ('what', 'VB'), ('about', 'DT'), ('books', 'NN')]","[('কিন্তু', 'CSB'), ('বই', 'NC'), ('কি', 'CX'), ('তা', 'PPR'), ('হলে', 'LC'), ('বাদ', 'NC')]","[('but', 'CC'), ('what', 'WP'), ('about', 'IN'), ('books', 'NNS')]","[('কিন্তু', 'O'), ('বই', 'S-OBJ'), ('কি', 'O'), ('তা', 'O'), ('হলে', 'O'), ('বাদ', 'O')]","['but', 'what', 'about', 'book']","['কিন্তু', 'বই', 'কি', 'তা', 'হল', 'বাদ']"
কিন্তু বই কি তা হলে বাদ?,But what about books?,but what about books,কিন্তু বই কি তা হলে বাদ,"['but', 'what', 'about', 'books']","['কিন্তু', 'বই', 'কি', 'তা', 'হলে', 'বাদ']","[('but', 'RB'), ('what', 'VB'), ('about', 'DT'), ('books', 'NN')]","[('কিন্তু', 'CSB'), ('বই', 'NC'), ('কি', 'CX'), ('তা', 'PPR'), ('হলে', 'LC'), ('বাদ', 'NC')]","[('but', 'CC'), ('what', 'WP'), ('about', 'IN'), ('books', 'NNS')]","[('কিন্তু', 'O'), ('বই', 'S-OBJ'), ('কি', 'O'), ('তা', 'O'), ('হলে', 'O'), ('বাদ', 'O')]","['but', 'what', 'about', 'book']","['কিন্তু', 'বই', 'কি', 'তা', 'হল', 'বাদ']"
কিন্তু আমাদের আসেনি।,But we didn’t.,but we didnt,কিন্তু আমাদের আসেনি,"['but', 'didnt']","['কিন্তু', 'আসেনি']","[('but', 'RB'), ('we', 'JJ'), ('didnt', 'NN')]","[('কিন্তু', 'CSB'), ('আমাদের', 'PPR'), ('আসেনি', 'VM')]","[('but', 'CC'), ('didnt', 'NN')]","[('কিন্তু', 'O'), ('আমাদের', 'S-PER'), ('আসেনি', 'O')]","['but', 'did']","['কিন্তু', 'আসেনি']"
কিন্তু আমাদের আসেনি।,But we didn’t.,but we didnt,কিন্তু আমাদের আসেনি,"['but', 'didnt']","['কিন্তু', 'আসেনি']","[('but', 'RB'), ('we', 'JJ'), ('didnt', 'NN')]","[('কিন্তু', 'CSB'), ('আমাদের', 'PPR'), ('আসেনি', 'VM')]","[('but', 'CC'), ('didnt', 'NN')]","[('কিন্তু', 'O'), ('আমাদের', 'S-PER'), ('আসেনি', 'O')]","['but', 'did']","['কিন্তু', 'আসেনি']"
সুতরাং প্রতিটি সংখ্যা m - 1 এবং m এর কারন হতে পারে এবং তারপর এর মধ্যে কারন হতে পারে।,So for every number m - 1 and m will be factors and then there may be factors in between.,so for every number m and m will be factors and then there may be factors in between,সুতরাং প্রতিটি সংখ্যা এবং এর কারন হতে পারে এবং তারপর এর মধ্যে কারন হতে পারে,"['so', 'every', 'number', 'm', 'm', 'will', 'factors', 'may', 'factors', 'between']","['সুতরাং', 'প্রতিটি', 'সংখ্যা', 'কারন', 'হতে', 'পারে', 'তারপর', 'মধ্যে', 'কারন', 'হতে', 'পারে']","[('so', 'NNS'), ('for', 'VBP'), ('every', 'JJ'), ('number', 'NN'), ('m', 'NN'), ('and', 'DT'), ('m', 'NN'), ('will', 'NN'), ('be', 'NN'), ('factors', 'IN'), ('and', 'DT'), ('then', 'NN'), ('there', 'NN'), ('may', 'MD'), ('be', 'VB'), ('factors', 'JJ'), ('in', 'NNS'), ('between', 'VBP')]","[('সুতরাং', 'CSB'), ('প্রতিটি', 'JQ'), ('সংখ্যা', 'NC'), ('এবং', 'CCD'), ('এর', 'PPR'), ('কারন', 'NC'), ('হতে', 'VM'), ('পারে', 'VAUX'), ('এবং', 'CCD'), ('তারপর', 'CSB'), ('এর', 'PPR'), ('মধ্যে', 'NST'), ('কারন', 'NC'), ('হতে', 'VM'), ('পারে', 'VAUX')]","[('so', 'RB'), ('every', 'DT'), ('number', 'NN'), ('m', 'VBN'), ('m', 'NNS'), ('will', 'MD'), ('factors', 'NNS'), ('may', 'MD'), ('factors', 'NNS'), ('between', 'IN')]","[('সুতরাং', 'O'), ('প্রতিটি', 'O'), ('সংখ্যা', 'O'), ('এবং', 'O'), ('এর', 'O'), ('কারন', 'O'), ('হতে', 'O'), ('পারে', 'O'), ('এবং', 'O'), ('তারপর', 'O'), ('এর', 'O'), ('মধ্যে', 'O'), ('কারন', 'O'), ('হতে', 'O'), ('পারে', 'O')]","['so', 'every', 'numb', 'm', 'm', 'will', 'factor', 'may', 'factor', 'between']","['সুতরাং', 'প্রতিটি', 'সংখ্যা', 'কারন', 'হত', 'পা', 'তারপ', 'মধ্য', 'কারন', 'হত', 'পা']"
"ইরানের সাথে ক্যানাডার কূটনৈতিক সম্পর্ক ছিন্ন
","Canada suspends diplomatic ties with Iran
",canada suspends diplomatic ties with iran,ইরানের সাথে ক্যানাডার কূটনৈতিক সম্পর্ক ছিন্ন,"['canada', 'suspends', 'diplomatic', 'ties', 'iran']","['ইরানের', 'সাথে', 'ক্যানাডার', 'কূটনৈতিক', 'সম্পর্ক', 'ছিন্ন']","[('canada', 'NN'), ('suspends', 'VBZ'), ('diplomatic', 'JJ'), ('ties', 'NN'), ('with', 'NN'), ('iran', 'NNS')]","[('ইরানের', 'NP'), ('সাথে', 'PP'), ('ক্যানাডার', 'NC'), ('কূটনৈতিক', 'JJ'), ('সম্পর্ক', 'NC'), ('ছিন্ন', 'VM')]","[('canada', 'NN'), ('suspends', 'VBZ'), ('diplomatic', 'JJ'), ('ties', 'NNS'), ('iran', 'VBP')]","[('ইরানের', 'S-LOC'), ('সাথে', 'O'), ('ক্যানাডার', 'O'), ('কূটনৈতিক', 'O'), ('সম্পর্ক', 'O'), ('ছিন্ন', 'O')]","['canada', 'suspend', 'diplomatic', 'tie', 'iran']","['ইরান', 'সাথ', 'ক্যানাডা', 'কূটনৈতিক', 'সম্পর্ক', 'ছিন্ন']"
